file,error
/Users/pegahaghili/Desktop/Concordia/Winter 2026/COMP 472/Project/raw_data/five-car-models-images/toyota_models_images/toyota hilux-9.png,cannot identify image file '/Users/pegahaghili/Desktop/Concordia/Winter 2026/COMP 472/Project/raw_data/five-car-models-images/toyota_models_images/toyota hilux-9.png'
/Users/pegahaghili/Desktop/Concordia/Winter 2026/COMP 472/Project/raw_data/five-car-models-images/toyota_models_images/toyota hilux-7.png,cannot identify image file '/Users/pegahaghili/Desktop/Concordia/Winter 2026/COMP 472/Project/raw_data/five-car-models-images/toyota_models_images/toyota hilux-7.png'
